pull_request_id	id	comment_id	body	Thanks	Sorry	Calm	Nervous	Careless	Cautious	Agressive	Defensive	Happy	Angry	pull_request_status
16311	1128	2	"I think auto-submitting to cause a full page refresh would be a pretty bad  experience, so I'd probably prefer they had to trigger the submit manually."	0	0	1	0	0	1	0	0	0	0	0
16311	1129	3	"I agree with Brad; either the *complete* experience, or an unadorned page-refreshing experience. I think a partially-working automatic filter would be confusing."	0	0	1	0	0	1	0	0	0	0	0
16378	1130	4	Added test to ensure single class is passed. Multiple classes gave false positive. 	0	0	1	0	0	1	0	0	0	0	0
15999	1131	5	Remove this PHP block... not required.	0	0	0	0	0	0	1	0	0	0	0
16378	1132	6	fallback for wildcard since there is no support to remove all classes and another loop didn't seem to make sense... there is an issue with the wildcard (existing) where gives invalid argument error.	0	0	0	0	0	0	1	0	0	0	0
10713	1133	7	@dpobel I would better say no.    may log **RunTime** errors but is not really suitable for errors that is the direct result of bad programming and should fail hard like if a typo was made in a class or method name.	0	0	0	0	0	0	1	0	0	0	0
10755	1134	8	That's fine for now. I may merge them if I get some time.	0	0	1	0	0	1	0	0	0	0	1
16402	1135	9	"This is a minor bug fix, should be 0.1.1.  "	0	0	1	0	0	0	0	0	0	0	1
16412	1136	10	Do not add a newline between if and the following statement. Check framework code about it. @rawtaz Check Yii source code about newlines. There is no Symfony/Zend/other code style.	0	0	0	0	0	1	1	1	0	0	1
8214	1137	11	"Done. Renamed ""timestamp"" to ""freeze-date"".    I'm actually setting ""build-date"" to the actual day that the image is built because it can differ from the freezedate."	0	0	0	0	0	1	1	0	0	0	1
13740	1138	12	Can we use something more descriptive than 1 and 0?	0	0	1	0	0	1	0	0	0	0	0
16412	1139	13	Remove space after commas.	0	0	0	0	0	0	1	0	0	0	1
16422	1140	14	"I think you might need to prefix the string with ^ like above, because of some other processing we do later on the chain with error messages.    Also, if we don't allow the comma at all in a collection title, the reserved string ',,' doesn't make sense, sin"	0	0	0	0	0	1	1	1	0	0	1
